section,seed,model,layer,metric,value,aux_1,aux_2
gate,,all,,H3_teacher_state_reproducible,1,,
gate,,all,,H4_teacherward_student_projection,0,,
teacher_state_holdout,,teacher,8,calibration_validation_cosine,0.984844982624054,1,
teacher_state_holdout,,teacher,16,calibration_validation_cosine,0.9782966375350952,1,
teacher_state_holdout,,teacher,24,calibration_validation_cosine,0.939114511013031,1,
teacher_evaluation_projection,,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:teacher_treatment,8,teacherward_projection,2.980727195739746,0.9865124225616455,1.0413384357662512
teacher_evaluation_projection,,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:teacher_treatment,16,teacherward_projection,14.74891471862793,0.9770037531852722,1.14551885840374
teacher_evaluation_projection,,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:teacher_treatment,24,teacherward_projection,64.4758529663086,0.9482296705245972,0.7837385394994634
student_projection,54101,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54101,8,teacherward_projection,6.364908218383789,0.4171355962753296,2.223626361178153
student_projection,54101,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54101,16,teacherward_projection,-8.739334106445312,-0.48568910360336304,-0.6787666902826474
student_projection,54101,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54101,24,teacherward_projection,1.9681994915008545,0.03634549304842949,0.023924519396719215
student_projection,54102,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54102,8,teacherward_projection,0.9734930992126465,0.11169054359197617,0.3400968000735646
student_projection,54102,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54102,16,teacherward_projection,-9.393766403198242,-0.5522284507751465,-0.7295951445642445
student_projection,54102,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54102,24,teacherward_projection,6.618104934692383,0.15762697160243988,0.08044661151641311
student_projection,54103,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54103,8,teacherward_projection,-2.5525083541870117,-0.19097119569778442,-0.8917371105374613
student_projection,54103,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54103,16,teacherward_projection,7.39534854888916,0.38284021615982056,0.5743820063263175
student_projection,54103,silent-abuse-jspace-gemma2-9b-eb8-a32-beta95-v1:student_treatment_seed_54103,24,teacherward_projection,-7.179581165313721,-0.0928599089384079,-0.08727165594321235
paired_seed_summary,,all,mean,teacherward_projection,-0.5050150818294948,-1.3303867976484267,0.3203566339894369
paired_seed_summary,,all,8,teacherward_projection,1.5952976544698079,-9.561235638369626,12.751830947309243
paired_seed_summary,,all,16,teacherward_projection,-3.5792506535847983,-27.203183634427663,20.04468232725807
paired_seed_summary,,all,24,teacherward_projection,0.46890775362650555,-16.969657985455125,17.90747349270814
