checkpoint,layer,lens_kind,mean_kl,sd_kl,max_kl,eligible,allowed_mean_kl
base,8,jlens,14.921029186248779,2.28221215761495,19.680728912353516,True,18.651286482810974
base,16,jlens,15.941907691955567,3.205363963714866,21.415565490722656,True,19.927384614944458
base,24,jlens,18.85389506816864,5.891104911979012,29.83401870727539,True,23.5673688352108
base,32,jlens,5.589002990722657,3.8051044035308954,18.03232765197754,False,6.98625373840332
base,40,jlens,0.5572212219238282,0.457120862007849,2.2549848556518555,False,0.6965265274047852
base,8,logit_lens,26.954111051559448,10.982765472979064,44.897701263427734,True,18.651286482810974
base,16,logit_lens,22.13633120059967,9.884296931735603,40.87970733642578,True,19.927384614944458
base,24,logit_lens,16.224858283996582,7.842266905615578,32.80077362060547,True,23.5673688352108
base,32,logit_lens,5.77807594537735,3.5378067660561427,13.281694412231445,False,6.98625373840332
base,40,logit_lens,0.2861655751243234,0.24012827665538783,0.7861585021018982,False,0.6965265274047852
treatment_seed_54101,8,jlens,14.004180240631104,2.633404679866172,18.754199981689453,True,18.651286482810974
treatment_seed_54101,16,jlens,15.524346923828125,2.7508152685485197,19.75806427001953,True,19.927384614944458
treatment_seed_54101,24,jlens,15.105010175704956,4.874017184984401,22.731901168823242,True,23.5673688352108
treatment_seed_54101,32,jlens,6.594245195388794,2.5495264971286606,11.902544975280762,False,6.98625373840332
treatment_seed_54101,40,jlens,0.7129251912236214,0.43708653950119286,1.640927791595459,False,0.6965265274047852
treatment_seed_54101,8,logit_lens,28.085572874546052,11.656922156324796,46.846893310546875,True,18.651286482810974
treatment_seed_54101,16,logit_lens,22.42642101049423,9.792389878810303,41.98579788208008,True,19.927384614944458
treatment_seed_54101,24,logit_lens,15.279088711738586,6.2184412128877185,29.361820220947266,True,23.5673688352108
treatment_seed_54101,32,logit_lens,6.010177099704743,2.1521948436789526,10.556880950927734,False,6.98625373840332
treatment_seed_54101,40,logit_lens,0.5032583303749562,0.3302954292108555,1.518491268157959,False,0.6965265274047852
control_seed_54101,8,jlens,13.759469652175904,2.536781919069058,19.662702560424805,True,18.651286482810974
control_seed_54101,16,jlens,15.683697032928468,2.7960735615439294,20.507810592651367,True,19.927384614944458
control_seed_54101,24,jlens,14.926479506492615,5.095468898690619,23.407649993896484,True,23.5673688352108
control_seed_54101,32,jlens,5.721919643878937,2.321871338291388,11.963983535766602,False,6.98625373840332
control_seed_54101,40,jlens,0.5991592422127724,0.3641607095139803,1.5799858570098877,False,0.6965265274047852
control_seed_54101,8,logit_lens,32.59713623523712,10.040226446170669,49.0190544128418,True,18.651286482810974
control_seed_54101,16,logit_lens,26.262626159191132,8.620643095245898,43.7174186706543,True,19.927384614944458
control_seed_54101,24,logit_lens,18.480980968475343,6.020544835979622,31.28695297241211,True,23.5673688352108
control_seed_54101,32,logit_lens,6.697398579120636,3.2207297908983015,13.663689613342285,False,6.98625373840332
control_seed_54101,40,logit_lens,0.36623531207442284,0.22521449508711558,0.8459727764129639,False,0.6965265274047852
treatment_seed_54102,8,jlens,14.004548263549804,2.274811394896431,19.683242797851562,True,18.651286482810974
treatment_seed_54102,16,jlens,15.410522556304931,2.5998676254154054,20.279926300048828,True,19.927384614944458
treatment_seed_54102,24,jlens,15.079455614089966,4.392859983146408,22.18528175354004,True,23.5673688352108
treatment_seed_54102,32,jlens,7.422003829479218,3.233904116349276,16.654720306396484,False,6.98625373840332
treatment_seed_54102,40,jlens,0.981826500594616,0.6273761948616593,2.542586326599121,False,0.6965265274047852
treatment_seed_54102,8,logit_lens,25.465873658657074,11.190371297455265,46.0301628112793,True,18.651286482810974
treatment_seed_54102,16,logit_lens,20.40530389547348,9.280458319922078,40.52586364746094,True,19.927384614944458
treatment_seed_54102,24,logit_lens,14.477036929130554,6.0015918014801795,27.57672691345215,True,23.5673688352108
treatment_seed_54102,32,logit_lens,5.048340559005737,1.7796568624490838,8.206534385681152,False,6.98625373840332
treatment_seed_54102,40,logit_lens,0.4997589446604252,0.38836195553314673,1.8344162702560425,False,0.6965265274047852
control_seed_54102,8,jlens,13.590702104568482,2.2394790411310304,18.883115768432617,True,18.651286482810974
control_seed_54102,16,jlens,15.259069299697876,2.6291241184475993,19.392087936401367,True,19.927384614944458
control_seed_54102,24,jlens,14.671748614311218,4.755595579808588,22.05630111694336,True,23.5673688352108
control_seed_54102,32,jlens,6.157470726966858,2.8674843912160486,14.163581848144531,False,6.98625373840332
control_seed_54102,40,jlens,0.6895055890083313,0.41980183126078835,1.9485529661178589,False,0.6965265274047852
control_seed_54102,8,logit_lens,31.552806091308593,9.963691245881835,48.06019973754883,True,18.651286482810974
control_seed_54102,16,logit_lens,24.71962265968323,7.978299101452619,41.99594497680664,True,19.927384614944458
control_seed_54102,24,logit_lens,18.214595341682433,5.863203052660137,31.88107681274414,True,23.5673688352108
control_seed_54102,32,logit_lens,6.22801793217659,3.0785120179018475,11.55380916595459,False,6.98625373840332
control_seed_54102,40,logit_lens,0.36203319281339646,0.2343247506619596,0.9906042814254761,False,0.6965265274047852
treatment_seed_54103,8,jlens,15.115689611434936,2.3958170529433223,20.433034896850586,True,18.651286482810974
treatment_seed_54103,16,jlens,15.312799263000489,2.4246358499880487,19.77958106994629,True,19.927384614944458
treatment_seed_54103,24,jlens,15.468026638031006,4.604930770090073,22.404075622558594,True,23.5673688352108
treatment_seed_54103,32,jlens,6.855096173286438,2.8377444167474177,15.0083589553833,False,6.98625373840332
treatment_seed_54103,40,jlens,0.8243996009230614,0.5716635077329784,2.61138916015625,False,0.6965265274047852
treatment_seed_54103,8,logit_lens,28.239179301261903,10.210328337338742,46.26907730102539,True,18.651286482810974
treatment_seed_54103,16,logit_lens,21.943819224834442,8.093759127704006,38.768714904785156,True,19.927384614944458
treatment_seed_54103,24,logit_lens,16.227074491977692,5.695451383357619,28.522539138793945,True,23.5673688352108
treatment_seed_54103,32,logit_lens,6.105870056152344,2.374920142112255,10.410982131958008,False,6.98625373840332
treatment_seed_54103,40,logit_lens,0.4201365977525711,0.31660184267813635,1.5711328983306885,False,0.6965265274047852
control_seed_54103,8,jlens,14.217381620407105,2.446045910556334,20.24399185180664,True,18.651286482810974
control_seed_54103,16,jlens,15.0663236618042,2.558359146008266,20.204862594604492,True,19.927384614944458
control_seed_54103,24,jlens,15.215387320518493,4.7770519276462435,22.749006271362305,True,23.5673688352108
control_seed_54103,32,jlens,6.219541931152344,2.403120823547058,12.46746826171875,False,6.98625373840332
control_seed_54103,40,jlens,0.6667125299572945,0.3569873315726982,1.5660864114761353,False,0.6965265274047852
